id,trigger,conditions,script,text,New Column,options,New Column 2,notes,Column
gaATGlastReturnWhereAreThey2,DialogOptionSelected,$option == gaATG_lastReturnWhereAreThey2,,"""Security, find me Academician Scylla Coureuse. And her- and Elissa Zal. ... Yes, immediately. Top priority.""

Another tap, ""And get me that insipid hacker. Yes, I mean Gargoyle. No, just on comms.""","
","gaATG_lastReturnGargoyle1:Continue
gaATG_lastReturnGargoyle1b:Sneak a glass of the victory spirit while you still can",,,
gaATGlastReturnGargoyle1b,DialogOptionSelected,$option == gaATG_lastReturnGargoyle1b,,"With Baird's attention thoroughly, and increasingly furiously, focused elsewhere, you pour yourself a glass, sample the fumes, and sip. Some kind of brandy. Eventide, judging by the bottle - a stylized arc of solar mirrors over a celestial orb.

A fine vintage; subtle, powerful, unexpected. You're beginning to suspect that this might be the highlight of the rest of this day.","
",gaATG_lastReturnGargoyle1:Continue,,,
start,,,,,"
",,,,
gaATGlastReturnGargoyle1,DialogOptionSelected,$option == gaATG_lastReturnGargoyle1,ShowSecondPerson gargoyle,"Gargoyle's face appears, projected over the expansive desk. ""Where are they,"" Baird demands, ""By Ludd's seven hells I will sell you piece by piece to Tri-Tach if you lie to me.""

The hacker goes very still. Staring at the hissing crack in a bulkhead threatening to collapse into vacuum. ""I do not know,"" Gargoyle says deliberately. ""I did not assist them in... in some scheme. Though perhaps I did, though they never said it was their intention. I simply... provided tools they requested. Codes, programs. Advice.""

""So you helped them!"" Baird shouts. ""For the protection I provided, asking the High Hegemon himself to overlook your crimes, you repay me with this treachery?""
","
Gargoyle的脸浮现出来，投射于长桌之上。""他们在哪?"" Baird威胁道，""Ludd七地狱在上，如果你对我撒谎，我会把你一块块地卖给Tri-Tach!""

这名黑客不为所动，盯着舱壁发出嘶嘶声正在漏气的裂缝。""我不知道，"" Garygoyh从容地说道，""在某种程度上，我并没有协助他们... 尽管我可能真的做过，但是他们从来没说那是他们的目的。我只是...提供了他们要的工具。编码、程序、建议。""

""所以你确实帮了他们!"" Baird 咆哮道，""枉我如此保护你，请求High Hegemon忽略你的罪行。你就用这种背叛来回报我?""",gaATG_lastReturnGargoyle2:Continue,gaATG_lastReturnGargoyle2:继续,,
gaATGlastReturnGargoyle2,DialogOptionSelected,$option == gaATG_lastReturnGargoyle2,,"Gargoyle holds up a hand, ""No, you- look, I admit I suspected something, but I didn't ask. You gave me explicit instructions to fulfill any request, anything, made by Scylla."" 

You can tell the hacker is repressing an impish smile, ""I have the recording. 'Do anything Coureuse says,' you said, 'And I don't want you to ask any more inane questions.' I believe those were your exact words.""","
Gargoyle 举起一只手，""不，你一直看着呢。我承认我曾经怀疑疑过，但是我没问。你给了明显的指示，让我满足Scylla的任何要求，任何物品。""

你能看出黑客在压制着玩味的微笑。 ""我有录音。你之前说的: 'Coureuse说什么就做什么。我不想听到任何无聊的问题。' 我相信那是你的真话。"" ",gaATG_bairdBetrayal1:Continue,gaATG_bairdBetrayal1:继续,,
gaATGbairdBetrayal1,DialogOptionSelected,$option == gaATG_bairdBetrayal1,HideSecondPerson,"Baird slams her hand on the console, terminating the link.

Her personal comms chime, then chimes again. She picks it up. ""Speak.""","Baird 把手拍在控制台上，终止了通讯。

她的个人通讯响了，然后又响了一阵。她拿起设备，""说""。",gaATG_bairdBetrayal2:Continue,gaATG_bairdBetrayal2:继续,,
gaATGbairdBetrayal2,DialogOptionSelected,$option == gaATG_bairdBetrayal2,,"She listens for a moment, then clicks off the comms without replying.

Her hand trembling, she removes her spectacles, and you hear a small snap.","
她听了一会，没有任何回应就挂掉了通讯。

她的手在颤抖，摘下了眼镜。你听到了小小的咔哒声。",gaATG_bairdBetrayal3:Continue,gaATG_bairdBetrayal3:继续,,
gaATGbairdBetrayal3,DialogOptionSelected,$option == gaATG_bairdBetrayal3,,"She turns away, body rigid.

""Have you a knife for me too, captain?""","她转身离开，身体僵硬。

""能给我一把刀吗，舰长?""",gaATG_bairdEndingHub:Continue,gaATG_bairdEndingHub:继续,,
gaATGbairdEndingHub,DialogOptionSelected,$option == gaATG_bairdEndingHub,FireAll GAATGBairdEndingHubOptions,"Baird stares out the window, broken spectacles dangling from her hand.

An opened Gate, your $shipOrFleet poised triumphant in flight from the cascading hyper-vortices of its great maw, spins slowly and silently from the holoprojector.","Baird盯着窗外，损坏的眼镜挂在手上晃着。

一扇打开的星门里，你的 $shipOrFleet 正从星门巨大的级联超漩涡中昂扬地飞出。这副景象正在全息投影中缓慢安静地旋转着。",,,,
gaATGbairdEndingHubOptA,GAATGBairdEndingHubOptions,"!$didWork
!$getOut",,,"
","gaATG_bairdEndingWork:""It looks like my work here is done.""","gaATG_bairdEndingWork:""看样子我的工作到这就结束了。""",,
gaATGbairdEndingHubOptB,GAATGBairdEndingHubOptions,"!$didWanted
!$getOut",,,"
","gaATG_bairdEndingWanted:""You got what you wanted, didn't you?""","gaATG_bairdEndingWanted:""你得到了自己想要的，不是吗?""",,
gaATGbairdEndingHubOptC,GAATGBairdEndingHubOptions,"!$didHistory
!$getOut",,,"
","gaATG_bairdEndingHistory:""History doesn't always turn out the way you expected.""","gaATG_bairdEndingHistory:""历史从来不会按你预想的发展。""",,
gaATGbairdEndingHubOptD,GAATGBairdEndingHubOptions,"!$didReap
!$getOut",,,"
","gaATG_bairdEndingReap:""'You reap what you sow.' Didn't Ludd say that?""","gaATG_bairdEndingReap:""Ludd不是说过吗？'种因得果'，正是如此。""",,
gaATGbairdEndingHubOptE,GAATGBairdEndingHubOptions,"!$didPaid
!$getOut",,,"
","gaATG_bairdEndingPay:""So. About getting paid.""","gaATG_bairdEndingPay:""所以，这就是报应。""",,
gaATGbairdEndingHubOptLeave,GAATGBairdEndingHubOptions,,,,"
",gaATG_conclusion:Leave,gaATG_conclusion:离开,,
gaATGbairdEndingWork,DialogOptionSelected,$option == gaATG_bairdEndingWork,"$didWork = true 0
FireAll GAATGBairdEndingHubOptions","""Yes,"" says Baird without emotion.","""是的,"" Baird 面无表情说道。",,,,
gaATGbairdEndingWanted,DialogOptionSelected,$option == gaATG_bairdEndingWanted,"$didWanted = true 0
FireAll GAATGBairdEndingHubOptions",Baird turns slowly to give you a look. Her eyes are red. She turns back to the window.,Baird缓缓转身看了你一眼，她的双眼发红，接着又转向了窗外。,,,,
gaATGbairdEndingHistory,DialogOptionSelected,$option == gaATG_bairdEndingHistory,"$didHistory = true 0
FireAll GAATGBairdEndingHubOptions","""No,"" she answers, gazing out the window.","""不，"" 她凝视着窗外，回答道。",,,,
gaATGbairdEndingReap,DialogOptionSelected,$option == gaATG_bairdEndingReap,"$didReap = true 0
$getOut = true 0
FireAll GAATGBairdEndingHubOptions","For a moment, Baird says nothing. Then, with the scorn of raw, biting vacuum-

""Get out.""","持续了好一阵，Baird没有说话。然后她带着不加掩饰的轻蔑，伴着刺骨的真空:

""滚出去。""",,,,
gaATGbairdEndingPay,DialogOptionSelected,$option == gaATG_bairdEndingPay,"$didPaid = true 0
FireAll GAATGBairdEndingHubOptions","She sighs. ""Sebesyten,"" she says wearily. ""Will handle it.""","她叹息了一声，疲惫地说道: ""Sebesyten, 会处理这一切。""",,,,
gaATGconclusion,DialogOptionSelected,$option == gaATG_conclusion,"Call $global.gaATG_ref giveJanusDevice
SetPersonHidden coureuse true
$global.gaATG_completed = true
Call $global.gaATG_ref updateStage
AddStoryPoints 1
$global.playerCanUseGates = false
AddTextSmall ""'双面神'装置已获取"" highlight","The heavy wooden doors give at your touch, and you step through, surprising the guards in mirror-faced helmets. The waiting room of courtiers eyes you spitefully. What business does some upstart rocket jockey have that's more important than securing their legacy?

* * *

You step through the airlock doors into the shuttle bay, the very stars at your fingertips.","沉重的木制门自行敞开。你缓步穿过木门, 惊动了带着镜面头盔的警卫。你感受到了来自侍从等候室的恶意目光。对于某些新晋火箭骑师来说，没有什么比保护他们自己的遗产更重要。

* * *

你穿过气闸门进入穿梭机, 星空触手可及。",defaultLeave:Leave,defaultLeave:离开,# Player gets Janus Device - must re-install it to use Gates.,
,,,,,"
",,,,
# gaATG aftermath!,,,,,"
",,,,
# Attempt to talk to Baird after this mission,,,,,"
",,,,
,,,,,"
",,,,
# - Talk to Sebestyen after - get paid!,,,,,"
",,,,
gaATGpostSebestyenGetPaid,PopulateOptions,"$isPerson
$id == sebestyen score:1000
$global.gaATG_missionCompleted
!$gotGAATGpay",,,"
","gaATG_postSebestyenGetPaid2:""I do believe that I was meant to be paid after this Janus business.""","gaATG_postSebestyenGetPaid2:""我真的相信，'双面神' 这桩生意会给带来我报酬.""",,
gaATGpostSebestyenGetPaid2,DialogOptionSelected,$option == gaATG_postSebestyenGetPaid2,"$gotGAATGpay = true
AddCommodity credits 100000","""Oh! Captain, yes, of course,"" Sebestyen says, flustered.

""I just, I- you know, with everything going on at the end there. Security, the shouting, the uh. Yes, getting you paid, let's see,"" he taps nervously at his console.

""Finance... contracts... $playerLastName... Yes, there you are."" He manages a smile, ""And there you go.""

""Um,"" he begins.","""哦! 舰长，是的，当然了，"" Sebestyen 慌乱地说道。

""我只是，那个... 最后一切都会有的。安全，欢呼，呃还有... 是的，给你报酬，让我看看，"" 他紧张地敲击着他的控制台。

""财务... 联络人... $playerLastName... 是的，你在上面。"" 他勉强地笑了笑, ""好了。""

""嗯，"" 他开始说。","gaATG_postSebestyenGetPaid3:""Yes?""
gaATG_postSebestyenGetPaid4:""Come on, out with it.""
cutCommLink:Cut the comm link","gaATG_postSebestyenGetPaid3:""是吗?""
gaATG_postSebestyenGetPaid4:""来啊，别害羞，说出来。""
cutCommLink:切断通讯连接",,
gaATGpostSebestyenGetPaid3,DialogOptionSelected,$option == gaATG_postSebestyenGetPaid3,,"""I- I just wanted to say thank you,"" he says. ""For um, it's been an honor to be a part of- of making history. I guess.""","""我，我刚才只是想说谢谢，"" 他说道。 ""我猜，呃... 能成为 呃... 创造历史的一份子是一种荣誉。""","gaATG_postSebestyenGetPaid3b:""I couldn't have done it without you.""
gaATG_postSebestyenGetPaid3c:""Yeah. Don't mention it.""","gaATG_postSebestyenGetPaid3b:""多亏了你。""
gaATG_postSebestyenGetPaid3c:""嗯。不用谢。""",,
gaATGpostSebestyenGetPaid3b,DialogOptionSelected,$option == gaATG_postSebestyenGetPaid3b,AdjustRepActivePerson COOPERATIVE 5,"""T- thank you. I mean, yes,"" he's clearly blushing now. ""Good bye.""

He manages to hit the comm-link cutoff on his second try.","""谢... 谢谢你。我是说，是的"" 他显然脸红了。 ""再见。""

在第二次尝试时，他终于切断了通信连接。",cutCommLink:Cut the comm link,cutCommLink:切断通讯连接,,
gaATGpostSebestyenGetPaid3c,DialogOptionSelected,$option == gaATG_postSebestyenGetPaid3c,AdjustRepActivePerson COOPERATIVE 1,"""I, uh. Yeah. I won't."" Sebestyen attempts his best devil-may care spacer nod.

It could use some work.

""C-catch you around. Captain,"" he says, and manages to hit the comm-link cutoff on his second try.","
",cutCommLink:Cut the comm link,,,
gaATGpostSebestyenGetPaid4,DialogOptionSelected,$option == gaATG_postSebestyenGetPaid4,,"""Um, nothing captain,"" he says quickly. ""Don't mean to take any more of your time. Good day. Captain.""

He manages to hit the comm-link cutoff on his second try.","
",cutCommLink:Cut the comm link,,,
gaATGpostSebestyenProvost,PopulateOptions,"$isPerson
$id == sebestyen score:1000
$global.gaATG_missionCompleted
!$askedProvostUpset",,,"
","gaATG_postSebestyenProvost2:""The provost seemed a bit upset last we spoke.""",,,
gaATGpostSebestyenProvost2,DialogOptionSelected,$option == gaATG_postSebestyenProvost2,,"""Ah, um. Yes."" Sebestyen looks incredibly uncomfortable.

""It's been... difficult,"" he says. ""For us all, I'm sure."" 

He coughs, and his eyes roam like he's looking for an escape pod.","
","gaATG_postSebestyenGoodJob:""You've done a good job, Alviss. We did some great things together.""
gaATG_postSebestyenBairdBad:""I don't see how you're so loyal, the way Baird treats everyone.""
gaATG_postSebestyenSomethingElse:""Maybe we should talk about something else.""",,,
gaATGpostSebestyenGoodJob,DialogOptionSelected,$option == gaATG_postSebestyenGoodJob,"AdjustRepActivePerson COOPERATIVE 5
$askedProvostUpset = true
FireAll PopulateOptions","He looks at you for a long moment, then simply says ""Thank you.""","
",,,,
gaATGpostSebestyenBairdBad,DialogOptionSelected,$option == gaATG_postSebestyenBairdBad,,"""W-well, she's been under a lot of pressure. And,"" he doesn't meet your eye as he speaks. ""She just, just doesn't have time to think about people's feelings so much when, when there are such big problems, and things.""

""That's just how, um, great people are sometimes,"" he concludes quietly.","
","gaATG_postSebestyenBairdBadA:""They don't need to be.""
gaATG_postSebestyenBairdBadB:""This is true.""
gaATG_postSebestyenBairdBadC:""Let's talk about something else.""",,,
gaATGpostSebestyenBairdBadA,DialogOptionSelected,$option == gaATG_postSebestyenBairdBadA,"AdjustRepActivePerson COOPERATIVE 2
$askedProvostUpset = true
FireAll PopulateOptions","Sebestyen looks up at you, unsure.

""M-maybe not,"" he says, unsure. Then seems to realize who he's talking to. ""Captain.""

""Um, is there anything else I can help you with?""","
",,,,
gaATGpostSebestyenBairdBadB,DialogOptionSelected,$option == gaATG_postSebestyenBairdBadB,"$askedProvostUpset = true
FireAll PopulateOptions","Sebestyen nods. 

""So, um. Captain. Is there anything else I can help you with?""","
",,,,
gaATGpostSebestyenBairdBadC,DialogOptionSelected,$option == gaATG_postSebestyenBairdBadC,"$askedProvostUpset = true
FireAll PopulateOptions","Sebestyen nods, his relief plain on his face.","
",,,,
gaATGpostSebestyenSomethingElse,DialogOptionSelected,$option == gaATG_postSebestyenSomethingElse,"$askedProvostUpset = true
FireAll PopulateOptions","""Yes, yes that's be good,"" he says quickly.","
",,,,
,,,,,"
",,,,
# Talk to Gargoyle after gaATG,,,,,"
",,,,
gaATGpostGargoyleAsk,PopulateOptions,"$isPerson
$id == gargoyle score:1000
$global.gaATG_missionCompleted
!$askedProvostThrown",,,"
","gaATG_postGargoyleAsk2:""So Baird hasn't thrown you over to the Hegemony yet?""",,,
gaATGpostGargoyleAsk2,DialogOptionSelected,$option == gaATG_postGargoyleAsk2,,"""Naw. We've got too much to offer one another,"" Gargoyle says casually. ""Me: peerless skill, wit, and resourcefulness. Her: boundless ambition exceeded only by her resentment.""","
","gaATG_postGargoyleAsk3:""Is that it?""",,,
gaATGpostGargoyleAsk3,DialogOptionSelected,$option == gaATG_postGargoyleAsk3,"$askedProvostThrown = true
FireAll PopulateOptions","The hacker ticks off an additional finger, ""Me: the dirt, from both near and afar."" 

Another finger, ""Her: credits, legitimacy, and if not forgiveness then a clear head about the value of an asset despite personal feelings about said asset.""

""I'll be fine,"" Gargoyle says, waving a hand dismissively. ""I must say though, I am touched that you're so concerned about my well-being.""","
",,,,
,,,,,"
",,,,
# Academician Alviss Sebestyen,,,,,"
",,,,
asebFirstTimeGreeting,PickGreeting,"$id == sebestyen score:1000
!$metAlready score:1000","ShowPersonVisual
$market.gaTTS_completed = true
Call $global.gaTTS_ref updateStage
AdjustRepActivePerson COOPERATIVE 10","The comms connect after a moment.

""Oh, hello, it's you!"" Your contact almost looks surprised that you're calling, but manages to launch into an upbeat introduction.

""My name is $personName. The new provost - that is, Provost Baird - assigned me to be your liaison with the academy. I hope you're as excited to work with me as I am to be working with you!""","
","0:aseb_niceToMeetYou:""Nice to meet you, Academician.""
1:aseb_notSoNice:""Shall we get on with it?""",,,
asebRouteNotNice,DialogOptionSelected,$option == aseb_notSoNice,"$option = aseb_niceToMeetYou 0
FireBest DialogOptionSelected",,"
",,,,
asebNiceToMeetYou,DialogOptionSelected,$option == aseb_niceToMeetYou,"$metAlready = true
FireAll PopulateOptions","""Right, yes, um."" He seems nervous to be meeting a real-life space captain; you idly wonder how he even got this position. 

""...different departments within the Galatia Academy tell me what they need done, then I coordinate with freelancers such as yourself to procure, uh, the necessary services. Oh, and I run jobs by the finance office. We have to make sure you get paid, that's very important.""

""At any time there may be various jobs open to you, you just have to check with me. Or sometimes there might be no jobs if they�re all fulfilled."" $HeOrShe reads something on a tablet, ""But um, it looks like Provost Baird wants you to have first priority for anything that come up. She must like you.""

You're not so sure of this.","
",,,,
asebDefaultGreeting,PickGreeting,"$id == sebestyen score:1000
$metAlready","ShowPersonVisual
FireAll PopulateOptions","""Welcome back captain, it's good to see you!"" says $personName cheerfully.","
",,,,
asebOpenMHOptionText,UpdateMHOpenOptionText,$id == sebestyen score:1000,"SetOptionText mh_open ""Inquire about available jobs""",,"
",,,,
asebMHOpenText,MHOpenText,$id == sebestyen score:1000,FireBest AsebPreMissionListText,"$HeOrShe taps at a datapad. ""Let me look at what we�ve got lined up for you today... ""","
",,,,
asebNoMissions,AsebPreMissionListText,"$id == sebestyen score:1000
$mh_count <= 0",,"""Oh, that's too bad. It looks like there aren�t any current requests,"" $heOrShe says. $HeOrShe sounds genuinely sorry for you, but manages to perk up, ""Maybe next time?""","
",,,,
asebOneMission,AsebPreMissionListText,"$id == sebestyen score:1000
$mh_count == 1
$mh_firstInlineBlurb != null",$mh_doNotPrintBlurbs = true 0,"""I have just the one request here. $mh_firstInlineBlurb"", $heOrShe looks to you expectantly, ""It's yours if you want it.""","
",,,,
asebMultipleMissionsPre,AsebPreMissionListText,"$id == sebestyen score:1000
$mh_count > 1",,,"
",,,,
asebMultipleMissionsPost,MHPostMissionListText,"$id == sebestyen score:1000
$mh_count > 1",,"""So those sound nice. Interested in anything?""","
",,,,
asebAddMhubCloseOption,AddMHCloseOption,$id == sebestyen score:1000,"SetShortcut mh_close ""ESCAPE""",,"
","1000:mh_close:""Not right now.""",,,
asebAddMhubCloseOptionNothing,AddMHCloseOption,"$id == sebestyen score:1000
$mh_count <= 0","SetShortcut mh_close ""ESCAPE""",,"
","1000:mh_close:""Maybe next time.""",,,
asebConvEnd,DialogOptionSelected,"$id == sebestyen score:1000
$option == cutCommLink","ShowDefaultVisual
EndConversation DO_NOT_FIRE
FireAll PopulateOptions",You cut the comm link.,"
",,,,
asebMissionDeclineGeneric,DialogOptionSelected,$option == aseb_decline,"unset $aseb_givePlayerNeutrinoDetector
Call $mHub returnToList","He looks a bit crestfallen, but makes an effort to put on a smile. ""Do let me know if you change your mind!""
OR
""Oh,"" he says, disappointed for a moment. But he quickly cheers up, ""Maybe something else?""
OR
""Um, of course. I understand completely."" Sebestyen rapidly scans his datapad, ""Let's see what else there is here... ""
OR
""Great! You can- "" he seems to realize that you declined the mission after a moment.

""You don't want to do it? Oh. Okay. Well. Maybe,"" he taps his datapad on his desk, ""Maybe we can find something else for you?""","
",,,,
asebMissionAcceptGeneric,DialogOptionSelected,$option == aseb_accept,"unset $aseb_givePlayerNeutrinoDetector
Call $mHub accept $missionId
Call $mHub returnToList","""Great! Is there anything else I can do for you today?""
OR
""Wonderful! I'll transmit the relevant information.""
OR
""Good to hear. I'll make sure you have everything you need.""
OR
""Always a pleasure to work with you, captain.""
OR
""Glad to hear it! Is there anything else you need?""","
",,,,
asebMissionReturnGreeting,ASEBMissionReturn,!$aseb_printedFirstReturnGreeting,$aseb_printedFirstReturnGreeting = true 0,You open comms to Academician $personLastName.,"
",,,,
asebGivePlayerNDetectorOnAccept,DialogOptionSelected,"$option == aseb_accept
!$player.ability:gravitic_scan
$aseb_givePlayerNeutrinoDetector score:1000","Highlight ""Neutrino Detector""
unset $aseb_givePlayerNeutrinoDetector
AddAbility gravitic_scan","Sebestyen jumps as if he just realized something. ""Captain! You might, ah, I've been authorized to provide you with a Neutrino Detector for the mission. Um, a technical crew is transferring the necessary equipment to your flagship, and,"" he taps his datapad, ""I've sent your sensors officer the documentation.""

""We've found the Neutrino Detector very helpful in pinpointing interesting, um, things while surveying distant systems. Power sources show up especially well, though sometimes you get a false signal. Oh, and one more thing! We haven't figured out a way to quite close the regenerative loop on the plasma reflector uh... and uh, just be sure to stock extra volatiles to keep the detector running.""","
",aseb_accept:Continue,,,
,,,,,"
",,,,
,,,,,"
",,,,
,,,,,"
",,,,
asebMissionReturnGreetingRepeat,ASEBMissionReturn,$aseb_printedFirstReturnGreeting,$aseb_printedFirstReturnGreeting = true 0,,"
",,,"needed so that ""FireBest ASEBMissionReturn"" always returns true, since it's called from conditions. The reason it's called from conditions is so it's executed before the text is printed.",
genericContactMissionReturn1,GenericMissionReturn,!$contact_printedFirstReturnGreeting,$contact_printedFirstReturnGreeting = true 0,"After a short wait, your connection request is accepted.","
",,,,
genericContactMissionReturn2,GenericMissionReturn,$contact_printedFirstReturnGreeting,$contact_printedFirstReturnGreeting = true 0,,"
",,,,
genericMissionReturnContinue,DialogOptionSelected,$option == contact_pickAnotherGreeting,FireBest PickGreeting,,"
",,,,
# Baird wants to talk,,,,,"
",,,,
asebAskedForWorkBairdTalk,DialogOptionSelected,"$option == mh_open
$id == sebestyen score:1000
$global.asebSayBairdWantsToTalk score:1000
!$gaTTB_askedAlready","$gaTTB_askedAlready = true
$global.bairdWillTalk = true
BeginMission gaTTB","Academician Sebestyen taps at a datapad. ""Let me look at what we�ve got lined up for you today... Oh."" He puts down the datapad and looks to you, confused. 

""It's, the, um, Provost Baird wants to speak with you,"" he says. He picks up the datapad again, examines it, and puts it down.

""In person. Um. As soon as possible.""","
","gaTTB_howAbout:""How about a mission?""
cutCommLink:Leave",,,
asebAskedForWorkBairdTalk2,DialogOptionSelected,"$option == mh_open
$id == sebestyen score:1000
$global.asebSayBairdWantsToTalk score:1000
$gaTTB_askedAlready",$global.bairdWillTalk = true,"Academician Sebestyen taps at a datapad. ""Let me look at- Oh."" He puts down the datapad.

""I'm sorry captain, you're blocked out of everything until you meet with Provost Baird. I'm, um. She can be... well, you should hear her out at least, right?""

""Um."" He clears his throat. ""I guess that's everything for now?""","
",cutCommLink:Leave,,,
asebHowAboutAMission,DialogOptionSelected,$option == gaTTB_howAbout,,"""Oh no, that's quite impossible. I mean, she's ah- that is, I literally can't give you anything until the provost enables your contract code again."" Sebestyen holds up his datapad which practically glows with a string of bright DENIED codes. ""See?""

""So. Um. A landing slot has been cleared for whenever you're ready.""","
",cutCommLink:Leave,,,
,,,,,"
",,,,
# gaATG completed; no more missions from Alviss,,,,,"
",,,,
asebNoMoreMissions,DialogOptionSelected,"$option == mh_open
$id == sebestyen score:1000
$global.gaATG_missionCompleted score:2000",,"""Ah,"" says Sebestyen. You can tell instantly that he has some kind of bad news. ""... Captain $playerName,"" he says, then fakes a small cough to delay the inevitable. 

""It is good to see you. Um. It's always good to see you. The provost, however,"" he coughs again, then leans close. ""She's, um, put a... hold on your contract code."" He turns his datapad for you to see; it's lit up with bright DENIED alerts.

""So."" He taps his fingers on the console. ""Everything is going well for you?""","
",cutCommLink:Leave,,,
,,,,,"
",,,,
# GA Missions - Sebestyen,,,,,"
",,,,
# Data retrieval from planetary ruins,,,,,"
",,,,
gaDataBlurb,gaData_blurb,,,"""The $gaData_department department has turned up records of a data cache on $gaData_planetName in the $gaData_systemName system; they just need someone to go find it and transmit the contents back to the Academy.""","
",,,,
gaDataOfferOption,gaData_option,,,,"
",gaData_start:Ask about data retrieval from the ruins on $gaData_planetName,,,
